/js                   (Status: 301) [Size: 327] [--> http://zabbix.shibboleth.htb/js/]
/index.php            (Status: 200) [Size: 3686]
/modules              (Status: 301) [Size: 332] [--> http://zabbix.shibboleth.htb/modules/]
/assets               (Status: 301) [Size: 331] [--> http://zabbix.shibboleth.htb/assets/]
/include              (Status: 301) [Size: 332] [--> http://zabbix.shibboleth.htb/include/]
/locale               (Status: 301) [Size: 331] [--> http://zabbix.shibboleth.htb/locale/]
/robots.txt           (Status: 200) [Size: 974]
/fonts                (Status: 301) [Size: 330] [--> http://zabbix.shibboleth.htb/fonts/]
/app                  (Status: 301) [Size: 328] [--> http://zabbix.shibboleth.htb/app/]
/image.php            (Status: 200) [Size: 1828]
/favicon.ico          (Status: 200) [Size: 32988]
/local                (Status: 301) [Size: 330] [--> http://zabbix.shibboleth.htb/local/]
/conf                 (Status: 301) [Size: 329] [--> http://zabbix.shibboleth.htb/conf/]
/setup.php            (Status: 200) [Size: 1828]
/.htpasswd            (Status: 403) [Size: 286]
/audio                (Status: 301) [Size: 330] [--> http://zabbix.shibboleth.htb/audio/]
/history.php          (Status: 200) [Size: 1830]
/templates.php        (Status: 200) [Size: 1832]
